fips,county,state,cases,deaths,population,area,density,results_trumpd,results_absentee_trumpd,results_bidenj,results_absentee_bidenj,trump_total,biden_total,percent_biden,winner,never,rarely,sometimes,frequently,always,mask_percent,state_abb,state_win,total_cases,death_rate,infection_rate
01001,autauga,alabama,2506,37,54571,594,92,19764,0,7450,0,19764,7450,0.2737561549202616,trump,0.053,0.074,0.134,0.295,0.444,0.739,AL,trump,220848,6.780157959355702e-4,0.04592182661120375
01003,baldwin,alabama,7772,84,182265,1589,115,83055,0,24344,0,83055,24344,0.22666877717669626,trump,0.083,0.059,0.098,0.323,0.436,0.759,AL,trump,220848,4.6086741831947986e-4,0.0426412092283214
01005,barbour,alabama,1134,9,27457,884,31,5605,0,4772,0,5605,4772,0.45986315890912594,trump,0.067,0.121,0.12,0.201,0.491,0.692,AL,trump,220848,3.2778526423134354e-4,0.04130094329314929
01007,bibb,alabama,1004,17,22915,622,37,7508,352,1982,215,7860,2197,0.21845480759669883,trump,0.02,0.034,0.096,0.278,0.572,0.85,AL,trump,220848,7.418721361553567e-4,0.04381409557058695
01009,blount,alabama,2594,34,57322,644,89,24595,0,2627,0,24595,2627,0.09650282859451914,trump,0.053,0.114,0.18,0.194,0.459,0.653,AL,trump,220848,5.93140504518335e-4,0.04525313143295768
01011,bullock,alabama,678,19,10914,622,18,1143,0,3439,0,1143,3439,0.7505456132693147,biden,0.031,0.04,0.144,0.286,0.5,0.786,AL,trump,220848,0.0017408832691955286,0.06212204507971413
01013,butler,alabama,1099,41,20947,776,27,5448,429,3953,616,5877,4569,0.4373923032739805,trump,0.102,0.053,0.257,0.137,0.451,0.5880000000000001,AL,trump,220848,0.0019573208574020146,0.052465746884995466
01015,calhoun,alabama,5702,77,118572,605,196,34964,0,15118,0,34964,15118,0.30186494149594667,trump,0.152,0.108,0.13,0.167,0.442,0.609,AL,trump,220848,6.493944607495868e-4,0.04808892487265121
01017,chambers,alabama,1595,48,34215,596,57,8748,0,6356,0,8748,6356,0.4208156779661017,trump,0.117,0.037,0.15,0.136,0.56,0.6960000000000001,AL,trump,220848,0.0014028934677772908,0.046616980856349556
01019,cherokee,alabama,919,15,25989,553,47,10562,0,1619,0,10562,1619,0.13291191199408917,trump,0.135,0.027,0.161,0.158,0.52,0.678,AL,trump,220848,5.771672630728385e-4,0.03536111431759591
01021,chilton,alabama,2093,37,43643,692,63,16052,0,3056,0,16052,3056,0.1599330123508478,trump,0.06,0.07,0.058,0.194,0.618,0.812,AL,trump,220848,8.477877322823821e-4,0.04795728982883853
01023,choctaw,alabama,411,12,13859,913,15,4294,0,3126,0,4294,3126,0.42129380053908355,trump,0.049,0.038,0.126,0.219,0.568,0.7869999999999999,AL,trump,220848,8.658633379031676e-4,0.02965581932318349
01025,clarke,alabama,1507,19,25833,1238,21,7310,0,5730,0,7310,5730,0.43941717791411045,trump,0.049,0.088,0.164,0.268,0.43,0.698,AL,trump,220848,7.354933612046607e-4,0.05833623659660125
01027,clay,alabama,852,15,13932,603,23,5589,376,1262,177,5965,1439,0.19435440302539167,trump,0.148,0.158,0.195,0.169,0.329,0.498,AL,trump,220848,0.0010766580534022395,0.0611541774332472
01029,cleburne,alabama,684,12,14972,560,27,6472,0,672,0,6472,672,0.0940649496080627,trump,0.151,0.125,0.138,0.217,0.368,0.585,AL,trump,220848,8.014961261020571e-4,0.04568527918781726
